40388497;0304627
24950220;66-06856
24589749;6345335
39882760;8532107
24177136;7756355
42963549;1622331
19882114;4271336
1497204;7242-362
19020581;18311-11
12425295;2363231
21850775;1568442
12420310;0513232
23233017;1725411
36159677;8131232
18469634;3511111-
47312591;57
46144784;6735
45374985;085664
41740232;6-275234
43210143;26665
45580937;73693
35702068;87-75253
38537976;7665453
42425544;068544
39154893;5774043
47167902;655
28583092;1166334
21727315;916-6519
790783;1563273
21168109;4113332
11611306;4012138
37946603;2832413
21685486;4124-914
25310300;2
3817051;2
48129390;72
43210083;033
45799153;333
3377552;4
38896876;0644248
46863754;33
42404104;4772713
43703658;4332117
40275484;3143243
28732704;6123164
42908392;5714241
38759073;1234521
26539883;6457122
40548010;1-9431
37564964;2231543
41752739;8214274
38174676;5677231
42113097;15-725
22504191;9516731
46233178;12
42865884;11531
39823779;677-5512
38393924;7421122
46252404;4231
27207738;13-41147
959833;2511268
18997694;4119542
30516095;16111-22
40136284;4312521
40748850;1871122
35876823;62-11324
25040314;1/1246-87
12506753;2794329
19851134;4803455
15247498;57-52783
1011750;6536424
23931927;2864486
21685488;47956-02
21003211;3235-909
17448358;4975657
14635848;1222557
39023233;08-017
40043610;7149483
40275962;5745454
40827636;1576573
44345132;5550452
35579395;6357725
15221977;5466346
21909117;718-6244
25025573;466-3343
979834;8537677
21221185;3443534
11578060;1311231
27881466;2131182
12825816;2315124
35638140;3211536
22867479;3221234
13207452;6731-142
35942051;6572243
16698023;2322434
22546042;4432574
24778120;4437661
11871252;3357656
25433586;2467826
25171360;710-7475
38537990;4263434
1555687;4636643
36402024;5145656
5873628;9244661
24046506;2322241
24402573;6437672
40214353;4716554
7327225;1664434
37414649;412-4212
19398545;35233-24
39661586;6241762
24832960;6314414
26452333;2254645
39726117;4844242
44109677;353155
36910593;8186699
41365556;2155714
42285195;1586971
40649667;7763646
40827630;5524035
8685798;6440227
37729782;2562326
42149846;4-252
16837190;336
5766981;32672-24
46792239;5
921084;5-672953
43977392;25
882175;2345222
40827625;1352773
40477046;7622456
39631154;3-537442
45092164;156
40817709;3166743
38480297;5825-357
5637045;232-1288
41503436;15-85656
19669410;2321261
12204138;1357154
23950614;3114633
24778119;1732485
24869882;5455551
39236551;1466444
37522855;4116106
35614271;5561782
26523539;2311862
43401290;2141x
24023203;44556
593647;563x1
25475496;88x38
1138024;131x4
19187142;24514
48934491;42425
36894764;x3845
24241716;5x867
40878765;31883
45898098;16464
47693109;41155
35994349;61131
24553961;6x47x
36620960;770x6
40698259;12836
19062465;10871
1558641;75573
39989823;52407
23278480;07025
39218545;81x7x
48934492;3458x
38858983;117x1
27757619;09467
3664576;5258x
48934493;x3226
48934494;x2224
35621020;46212
41676679;37166
41844762;31646
48934495;x2216
38454733;x8741
36794799;15613
36758051;14436
40297461;x5561
27921974;25068
28447721;04822
38858944;250x5
5657118;29284
25009522;35420
12608248;64325
20274584;12752
1405369;21325
28273752;21690
28143538;78151
28091421;37657
42537804;68864
40956220;80683
12775161;27783
38388094;9x357
41642902;56772
35382037;86624
25009525;93476
27932708;65027
24339246;76234
23047289;47891
28396560;43246
19167433;53551
24141121;13834
36395324;76533
7392253;96537
42464226;77x32
28773494;9x345
48934497;99x68
48934498;6838
48934499;78x
42335604;657x5
48934496;5
41050043;206-73
42080507;43-45
10058007;335431
27752;159533-
